MCS,ft0,st0,e0,ft1,st1,e1
367,-14.049999999999999,52.316180953828464,48.99787190613704,-25.15,52.0913172705844,48.22925140705518
372,-12.75,52.316180953828464,49.06287190613705,-20.450000000000003,48.179191736764494,44.74773214992627
374,-12.75,52.316180953828464,49.06287190613705,-20.450000000000003,48.179191736764494,44.74773214992627
379,-12.85,59.85984144840156,56.22434937598149,-20.35,48.179191736764494,44.752732149926274
380,-12.85,59.85984144840156,56.22434937598149,-20.35,48.179191736764494,44.752732149926274
383,-12.250000000000002,50.03767615966181,46.923292351678725,-20.150000000000002,48.179191736764494,44.76273214992627
391,-12.250000000000002,50.03767615966181,46.923292351678725,-20.150000000000002,48.179191736764494,44.76273214992627
397,-12.250000000000002,50.03767615966181,46.923292351678725,-20.150000000000002,48.179191736764494,44.76273214992627
399,-7.4222222222222225,50.15665196144191,47.277708252258705,-24.977777777777778,48.179191736764494,44.52134326103739
404,-7.022222222222222,50.15665196144191,47.29770825225871,-24.57777777777778,48.23308749045263,44.59254422704112
409,-7.022222222222222,50.15665196144191,47.29770825225871,-24.57777777777778,48.23308749045263,44.59254422704112
414,-7.022222222222222,50.15665196144191,47.29770825225871,-24.57777777777778,48.225409327664835,44.58524997239271
418,-7.022222222222222,50.15665196144191,47.29770825225871,-24.57777777777778,48.27321828557252,44.63066848240501
423,-10.42222222222222,51.4070774885589,48.31561250301984,-27.977777777777778,48.27321828557252,44.46066848240501
436,-10.42222222222222,51.4070774885589,48.31561250301984,-34.77777777777777,55.732865861087234,51.207333679143986
441,-10.42222222222222,37.717216721120735,35.31024477395359,-34.77777777777777,55.732865861087234,51.207333679143986
447,-7.022222222222222,37.63046843034264,35.3978338977144,-31.377777777777776,55.732865861087234,51.37733367914399
450,-0.0,37.63046843034264,35.74894500882551,-22.599999999999998,56.62130389582533,52.66023870103407
454,-0.0,37.63046843034264,35.74894500882551,-22.599999999999998,54.49894968162387,50.64400219754268
456,-0.0,37.63046843034264,35.74894500882551,-22.599999999999998,54.583395075563374,50.72422532178521
465,-0.0,37.63764076727257,35.755758728908944,-22.599999999999998,54.583395075563374,50.72422532178521
466,-0.0,37.63764076727257,35.755758728908944,-15.8,43.098436446412286,40.15351462409168
468,-0.0,37.63764076727257,35.755758728908944,-15.8,43.43171189410363,40.47012629939845
470,-11.285714285714285,37.63764076727257,35.19147301462323,-20.314285714285713,37.39710425087815,34.511534752619966
491,-0.0,33.72395952273315,32.0377615465965,-15.8,37.39710425087815,34.73724903833425
492,-0.0,33.72395952273315,32.0377615465965,-15.8,45.32027216383052,42.264258555639
496,-0.0,33.72395952273315,32.0377615465965,-15.8,45.20024113256986,42.15022907594137
497,-0.0,33.838314383223185,32.146398664062026,-15.8,45.20024113256986,42.15022907594137
499,-0.0,45.60476342136477,43.32452525029654,-15.8,45.20024113256986,42.15022907594137
501,-0.0,43.57462700015421,41.3958956501465,-15.8,45.20024113256986,42.15022907594137
505,-15.8,44.61955478002273,41.5985770410216,-15.8,45.20024113256986,42.15022907594137
511,-15.8,44.61955478002273,41.5985770410216,-15.8,45.20024113256986,42.15022907594137
512,-15.8,44.61955478002273,41.5985770410216,-15.8,45.538439207625466,42.47151724724419
518,-15.8,44.61955478002273,41.5985770410216,-15.8,45.538439207625466,42.47151724724419
519,-15.8,41.50484085627949,38.639598813465525,-15.8,45.538439207625466,42.47151724724419
529,-15.8,41.50484085627949,38.639598813465525,-15.8,45.538439207625466,42.47151724724419
530,-7.9,41.50484085627949,39.03459881346553,-7.9,45.710709843301295,43.03017435113624
537,-7.9,53.10562326188326,50.055342098789104,-7.9,45.710709843301295,43.03017435113624
544,-7.9,53.10562326188326,50.055342098789104,-7.9,45.710709843301295,43.03017435113624
550,-15.8,53.10562326188326,49.6603420987891,-0.0,48.465395154454605,46.042125396731876
551,-0.0,54.24766826966223,51.53528485617912,-15.8,48.465395154454605,45.25212539673188
553,-0.0,54.24766826966223,51.53528485617912,-15.8,48.465395154454605,45.25212539673188
555,-0.0,54.24766826966223,51.53528485617912,-15.8,48.465395154454605,45.25212539673188
556,-0.0,54.24766826966223,51.53528485617912,-16.0,48.48409827051335,45.25989335698769
560,-0.0,54.24766826966223,51.53528485617912,-16.8,44.38767142486833,41.32828785362492
563,-0.0,54.24766826966223,51.53528485617912,-16.8,44.38767142486833,41.32828785362492
568,-0.4,54.24766826966223,51.515284856179115,-16.4,47.746648804956905,44.539316364709066
573,-0.0,52.36627428668439,49.74796057235017,-16.8,47.746648804956905,44.51931636470907
576,-0.0,52.36627428668439,49.74796057235017,-16.8,53.15882290176508,49.66088175667683
577,-0.0,52.36627428668439,49.74796057235017,-16.8,53.15882290176508,49.66088175667683
583,-0.0,52.36627428668439,49.74796057235017,-16.8,53.15882290176508,49.66088175667683
587,-0.0,52.36627428668439,49.74796057235017,-16.8,53.15882290176508,49.66088175667683
