run_id,lambda,seed,fitness,cost,cost_norm,passenger_service,passenger_service_norm,service,service_norm,is_pareto,pareto_label,best_individual,line_edges_count
49,0.6,42,0.2306730710368798,14.58045373979224,0.00667148404730501,874.7554408448532,0.586689903663157,874.7554408448532,0.586689903663157,False,,"[307, 367, 385, 325, 343, 361]",15
50,0.6,43,0.25727367756620145,23.66195234316151,0.06638220872120319,1107.452448759528,0.7427575069973085,1107.452448759528,0.7427575069973085,True,,"[49, 67, 43, 85, 265, 325]",24
51,0.6,44,0.25727367756620145,23.66195234316151,0.06638220872120319,1107.452448759528,0.7427575069973085,1107.452448759528,0.7427575069973085,True,,"[49, 67, 43, 85, 265, 325]",24
52,0.6,45,0.25727367756620145,23.66195234316151,0.06638220872120319,1107.452448759528,0.7427575069973085,1107.452448759528,0.7427575069973085,True,,"[49, 67, 43, 85, 265, 325]",24
53,0.65,42,0.20100500165135668,14.58045373979224,0.00667148404730501,874.7554408448532,0.586689903663157,874.7554408448532,0.586689903663157,False,,"[307, 367, 385, 325, 343, 361]",15
54,0.65,43,0.2168166917802759,23.66195234316151,0.06638220872120319,1107.452448759528,0.7427575069973085,1107.452448759528,0.7427575069973085,True,,"[49, 67, 43, 85, 265, 325]",24
55,0.65,44,0.20219785029866075,21.990449084324702,0.05539209847189923,1014.7444845669517,0.6805791837297007,1014.7444845669517,0.6805791837297007,False,,"[49, 109, 127, 85, 265, 325]",22
56,0.65,45,0.2168166917802759,23.66195234316151,0.06638220872120319,1107.452448759528,0.7427575069973085,1107.452448759528,0.7427575069973085,True,,"[49, 67, 43, 85, 265, 325]",24
57,0.7,42,0.17133693226583363,14.580453739792237,0.006671484047304986,874.7554408448533,0.586689903663157,874.7554408448533,0.586689903663157,True,K_B,"[361, 343, 325, 385, 367, 307]",15
58,0.7,43,0.17635970599435036,23.66195234316151,0.06638220872120319,1107.452448759528,0.7427575069973085,1107.452448759528,0.7427575069973085,True,,"[49, 67, 43, 85, 265, 325]",24
59,0.7,44,0.18983155524998468,18.741512888186524,0.034030389004841066,1061.8555173540997,0.712176091844578,1061.8555173540997,0.712176091844578,True,,"[67, 85, 43, 61, 121, 241]",19
60,0.7,45,0.17635970599435036,23.66195234316151,0.06638220872120319,1107.452448759528,0.7427575069973085,1107.452448759528,0.7427575069973085,True,,"[49, 67, 43, 85, 265, 325]",24
61,0.75,42,0.1416688628803105,14.58045373979224,0.00667148404730501,874.7554408448532,0.586689903663157,874.7554408448532,0.586689903663157,False,,"[307, 367, 385, 325, 343, 361]",15
62,0.75,43,0.13590272020842473,23.66195234316151,0.06638220872120319,1107.452448759528,0.7427575069973085,1107.452448759528,0.7427575069973085,True,,"[49, 67, 43, 85, 265, 325]",24
63,0.75,44,0.13590272020842473,23.66195234316151,0.06638220872120319,1107.452448759528,0.7427575069973085,1107.452448759528,0.7427575069973085,True,,"[49, 67, 43, 85, 265, 325]",24
64,0.75,45,0.1400393487971235,15.603055501328708,0.013395076143822396,895.1116647886736,0.6003426236199612,895.1116647886736,0.6003426236199612,False,,"[265, 247, 187, 229, 211, 193]",16
65,0.8,42,0.11200079349478738,14.580453739792237,0.006671484047304986,874.7554408448533,0.586689903663157,874.7554408448533,0.586689903663157,True,,"[361, 343, 325, 385, 367, 307]",15
66,0.8,43,0.10256947766101697,15.628748135888642,0.01356400485210697,845.5519488603144,0.5671034077135129,845.5519488603144,0.5671034077135129,False,,"[265, 247, 229, 187, 127, 109]",16
